Species,n,Turnover,Time,k,t0.5
Trees,80000,0.16 (-1.9 ± 1.4),2317 (7.8 ± 1.4),0.33 (-1.2 ± 2.9),211 (5.4 ± 2.9)
Kelps,80000,2.7 (1 ± 0.88),135 (4.9 ± 0.88),1.5 (0.46 ± 2.4),46 (3.8 ± 2.4)
Agarum clathratum,80000,1.5 (0.38 ± 0.78),251 (5.5 ± 0.78),1.1 (0.1 ± 2.3),65 (4.1 ± 2.3)
Durvillaea antarctica,80000,2.3 (0.85 ± 0.82),158 (5.1 ± 0.82),1.4 (0.37 ± 2.4),50 (3.9 ± 2.4)
Ecklonia cava,80000,2.4 (0.86 ± 0.82),155 (5 ± 0.82),1.4 (0.38 ± 2.4),50 (3.9 ± 2.4)
Ecklonia cava subsp. Kurome,80000,2.7 (1 ± 0.84),133 (4.9 ± 0.84),1.5 (0.46 ± 2.4),45 (3.8 ± 2.4)
Ecklonia maxima,80000,3.5 (1.3 ± 0.81),104 (4.6 ± 0.81),1.8 (0.61 ± 2.5),39 (3.6 ± 2.5)
Ecklonia radiata,80000,2.2 (0.77 ± 0.77),169 (5.1 ± 0.77),1.3 (0.33 ± 2.4),52 (3.9 ± 2.4)
Eisenia arborea,80000,3.1 (1.1 ± 0.84),119 (4.8 ± 0.84),1.6 (0.53 ± 2.5),43 (3.7 ± 2.5)
Eisenia bicyclis,80000,2.4 (0.88 ± 0.83),151 (5 ± 0.83),1.4 (0.39 ± 2.4),49 (3.8 ± 2.4)
Hedophyllum nigripes,80000,3.5 (1.2 ± 0.8),105 (4.7 ± 0.8),1.8 (0.6 ± 2.5),40 (3.6 ± 2.5)
Hedophyllum sessile,80000,2.2 (0.81 ± 0.82),163 (5.1 ± 0.82),1.4 (0.34 ± 2.4),51 (3.9 ± 2.4)
Himantothallus grandifolius,80000,2.6 (0.96 ± 0.83),140 (4.9 ± 0.83),1.5 (0.43 ± 2.4),47 (3.8 ± 2.4)
Laminaria digitata,80000,2.1 (0.77 ± 0.76),170 (5.1 ± 0.76),1.3 (0.33 ± 2.4),52 (3.9 ± 2.4)
Laminaria hyperborea,80000,1.4 (0.34 ± 0.76),262 (5.6 ± 0.76),1 (0.079 ± 2.3),66 (4.2 ± 2.3)
Laminaria ochroleuca,80000,2.6 (0.95 ± 0.78),142 (4.9 ± 0.78),1.5 (0.44 ± 2.4),46 (3.8 ± 2.4)
Laminaria pallida,80000,3 (1.1 ± 0.81),123 (4.8 ± 0.81),1.6 (0.51 ± 2.4),43 (3.7 ± 2.4)
Laminaria setchellii,80000,1.4 (0.35 ± 0.82),257 (5.5 ± 0.82),1.1 (0.082 ± 2.3),66 (4.2 ± 2.3)
Laminaria solidungula,80000,1.3 (0.28 ± 0.8),276 (5.6 ± 0.8),1 (0.045 ± 2.3),68 (4.2 ± 2.3)
Lessonia corrugata,80000,2.6 (0.96 ± 0.83),139 (4.9 ± 0.83),1.5 (0.44 ± 2.4),46 (3.8 ± 2.4)
Lessonia nigrescens,80000,4.1 (1.4 ± 0.81),90 (4.5 ± 0.81),2 (0.7 ± 2.5),36 (3.5 ± 2.5)
Lessonia trabeculata,80000,1.8 (0.6 ± 0.79),200 (5.3 ± 0.79),1.2 (0.24 ± 2.4),56 (4 ± 2.4)
Lessoniopsis litoralis,80000,3.2 (1.2 ± 0.82),113 (4.7 ± 0.82),1.7 (0.56 ± 2.5),41 (3.7 ± 2.5)
Macrocystis laevis,80000,3.4 (1.2 ± 0.84),107 (4.7 ± 0.84),1.7 (0.59 ± 2.5),40 (3.6 ± 2.5)
Macrocystis pyrifera,80000,5.5 (1.7 ± 0.77),67 (4.2 ± 0.77),2.3 (0.87 ± 2.6),31 (3.4 ± 2.6)
Neoagarum fimbriatum,80000,3.8 (1.3 ± 0.8),97 (4.6 ± 0.8),1.8 (0.64 ± 2.5),38 (3.6 ± 2.5)
Nereocystis luetkeana,80000,2.9 (1.1 ± 0.79),125 (4.8 ± 0.79),1.6 (0.5 ± 2.4),44 (3.7 ± 2.4)
Phyllariopsis purpurascens,80000,3.6 (1.3 ± 0.84),102 (4.6 ± 0.84),1.8 (0.61 ± 2.5),39 (3.6 ± 2.5)
Pleurophycus gardneri,80000,2.4 (0.88 ± 0.8),152 (5 ± 0.8),1.4 (0.39 ± 2.4),49 (3.8 ± 2.4)
Postelsia palmiformis,80000,3.5 (1.2 ± 0.81),106 (4.7 ± 0.81),1.7 (0.6 ± 2.5),40 (3.6 ± 2.5)
Pterygophora californica,80000,3.1 (1.1 ± 0.84),117 (4.8 ± 0.84),1.6 (0.54 ± 2.5),42 (3.7 ± 2.5)
Saccharina angustata,80000,3.2 (1.2 ± 0.84),115 (4.7 ± 0.84),1.7 (0.55 ± 2.5),42 (3.7 ± 2.5)
Saccharina latissima,80000,2.5 (0.92 ± 0.76),146 (5 ± 0.76),1.5 (0.42 ± 2.4),47 (3.8 ± 2.4)
Saccorhiza polyschides,80000,3.3 (1.2 ± 0.78),109 (4.7 ± 0.78),1.7 (0.58 ± 2.5),40 (3.7 ± 2.5)
Undaria pinnatifida,80000,3.3 (1.2 ± 0.83),110 (4.7 ± 0.83),1.7 (0.57 ± 2.5),41 (3.7 ± 2.5)
