Species,Mass,Treatment,k,sigma,alpha,mu,tau,epsilon,lambda,theta
Laminaria digitata,Fresh,Live,0.052 ± 0.042,0.23 ± 0.024,0.38 ± 0.17,96 ± 45,2.5 ± 0.92,27168 ± 13559,1.3 ± 0.8,22 ± 5.5
Laminaria digitata,Fresh,Dead,7.7 ± 0.78,0.17 ± 0.018,-8.6 ± 0.92,88 ± 41,11 ± 1.2,29193 ± 16192,4.3 ± 3.2,4.7 ± 1.9
Ecklonia radiata,Dry,Live,1.8 ± 0.29,0.26 ± 0.035,-1.9 ± 0.58,80 ± 49,4.5 ± 1,38315 ± 18226,0.42 ± 0.09,0.44 ± 0.27
Ecklonia radiata,Dry,Dead,11 ± 1.5,0.12 ± 0.017,-8.8 ± 1.4,103 ± 62,11 ± 1.6,36749 ± 17301,1.5 ± 2,3.2 ± 2.5
Ecklonia radiata,Fresh,Live,1.4 ± 0.29,0.31 ± 0.041,-1.2 ± 0.31,71 ± 32,4 ± 0.99,26772 ± 11229,0.44 ± 0.081,0.27 ± 0.17
Ecklonia radiata,Fresh,Dead,6.5 ± 1.1,0.21 ± 0.028,-7.5 ± 1.1,92 ± 43,10 ± 1.4,27155 ± 13983,5.2 ± 1.9,1.9 ± 1.3
Amphibolis griffithii,Dry,Live,0.98 ± 0.082,0.078 ± 0.018,-0.86 ± 0.094,119 ± 65,3.5 ± 0.93,39859 ± 20238,0.21 ± 0.26,1826 ± 3346
Amphibolis griffithii,Dry,Dead,1.5 ± 0.14,0.097 ± 0.019,-1.3 ± 0.11,130 ± 78,3.8 ± 0.9,38241 ± 18465,0.47 ± 0.46,486 ± 1151
Amphibolis griffithii,Fresh,Live,0.051 ± 0.039,0.11 ± 0.026,0.18 ± 0.093,101 ± 45,2.6 ± 0.85,27429 ± 14250,1.1 ± 1.6,269 ± 116
Amphibolis griffithii,Fresh,Dead,0.12 ± 0.063,0.12 ± 0.024,0.075 ± 0.11,93 ± 38,2.8 ± 0.88,28342 ± 14478,2.3 ± 1.8,177 ± 71
